Week,Whisky,White wine,Craft Beer
5/4/2025,46,22,6
5/11/2025,48,22,6
5/18/2025,53,22,5
5/25/2025,48,20,6
6/1/2025,47,20,7
6/8/2025,50,22,7
6/15/2025,50,23,6
6/22/2025,48,24,5
6/29/2025,49,23,5
7/6/2025,49,23,7
7/13/2025,51,23,6
7/20/2025,53,24,5
7/27/2025,54,25,6
8/3/2025,60,25,5
8/10/2025,49,23,6
8/17/2025,51,25,5
8/24/2025,54,24,5
8/31/2025,65,20,4
